            configname    selected        comp_n(Na)    formation_energy    hull_dist(ALL,comp)
    SCEL2_1_2_1_0_0_0/309         0        4.50000000         -1.03177782             0.15306775
    SCEL2_1_2_1_0_0_0/31          0        2.00000000         0.75406696              0.76020866
    SCEL2_1_2_1_0_0_0/310         0        4.50000000         -1.04857214             0.13627343
    SCEL2_1_2_1_0_0_0/311         0        4.50000000         -1.07311930             0.11172627
    SCEL2_1_2_1_0_0_0/312         0        4.50000000         -1.04043723             0.14440834
    SCEL2_1_2_1_0_0_0/313         0        4.50000000         -1.06409293             0.12075264
    SCEL2_1_2_1_0_0_0/314         0        4.50000000         -1.01570609             0.16913948
    SCEL2_1_2_1_0_0_0/315         0        4.50000000         -1.03043624             0.15440933
    SCEL2_1_2_1_0_0_0/316         0        4.50000000         -0.98543908             0.19940649
    SCEL2_1_2_1_0_0_0/317         0        5.00000000         -0.90896377             0.49436446
    SCEL2_1_2_1_0_0_0/318         0        5.00000000         -1.15849137             0.24483686
    SCEL2_1_2_1_0_0_0/319         0        5.00000000         -1.34582897             0.05749926
    SCEL2_1_2_1_0_0_0/32          0        2.00000000         0.80727502              0.81341672
    SCEL2_1_2_1_0_0_0/320         0        5.00000000         -1.06147678             0.34185145
    SCEL2_1_2_1_0_0_0/321         0        5.00000000         -1.28512202             0.11820621
    SCEL2_1_2_1_0_0_0/322         0        5.00000000         -1.29426555             0.10906268
    SCEL2_1_2_1_0_0_0/323         0        5.00000000         -1.29423711             0.10909112
    SCEL2_1_2_1_0_0_0/324         0        5.00000000         -1.12549263             0.27783560
    SCEL2_1_2_1_0_0_0/325         0        5.00000000         -1.19611536             0.20721287
    SCEL2_1_2_1_0_0_0/326         0        5.00000000         -1.19102418             0.21230405
    SCEL2_1_2_1_0_0_0/327         0        5.00000000         -1.27581527             0.12751296
    SCEL2_1_2_1_0_0_0/328         0        5.00000000         -1.26600182             0.13732642
    SCEL2_1_2_1_0_0_0/329         0        5.00000000         -1.22685882             0.17646941
    SCEL2_1_2_1_0_0_0/33          0        2.00000000         0.83536041              0.84150211
    SCEL2_1_2_1_0_0_0/330         0        5.00000000         -1.30367708             0.09965116
    SCEL2_1_2_1_0_0_0/331         0        5.00000000         -1.27579525             0.12753299
    SCEL2_1_2_1_0_0_0/332         0        5.00000000         -1.27362714             0.12970109
    SCEL2_1_2_1_0_0_0/333         0        5.00000000         -1.24349350             0.15983473
    SCEL2_1_2_1_0_0_0/334         0        5.00000000         -1.23384956             0.16947868
    SCEL2_1_2_1_0_0_0/335         0        5.00000000         -1.25265794             0.15067029
    SCEL2_1_2_1_0_0_0/336         0        5.00000000         -1.28816611             0.11516212
    SCEL2_1_2_1_0_0_0/337         0        5.00000000         -1.26768367             0.13564456
    SCEL2_1_2_1_0_0_0/338         0        5.00000000         -1.32239965             0.08092858
    SCEL2_1_2_1_0_0_0/339         0        5.00000000         -1.27101659             0.13231165
    SCEL2_1_2_1_0_0_0/34          0        2.00000000         0.91929387              0.92543557
    SCEL2_1_2_1_0_0_0/340         0        5.00000000         -1.28996137             0.11336687
    SCEL2_1_2_1_0_0_0/341         0        5.00000000         -1.30109578             0.10223246
    SCEL2_1_2_1_0_0_0/342         0        5.00000000         -1.28252877             0.12079946
    SCEL2_1_2_1_0_0_0/343         0        5.00000000         -1.25538706             0.14794118
    SCEL2_1_2_1_0_0_0/344         0        5.00000000         -1.29929597             0.10403227
    SCEL2_1_2_1_0_0_0/345         0        5.00000000         -1.18043737             0.22289087
    SCEL2_1_2_1_0_0_0/346         0        5.00000000         -1.23219018             0.17113806
    SCEL2_1_2_1_0_0_0/347         0        5.00000000         -1.20728930             0.19603893
    SCEL2_1_2_1_0_0_0/348         0        5.00000000         -1.29362067             0.10970756
    SCEL2_1_2_1_0_0_0/349         0        5.00000000         -1.34435495             0.05897328
    SCEL2_1_2_1_0_0_0/35          0        2.00000000         0.49870891              0.50485061
    SCEL2_1_2_1_0_0_0/350         0        5.00000000         -1.15016615             0.25316209
    SCEL2_1_2_1_0_0_0/351         0        5.00000000         -1.08271439             0.32061384
    SCEL2_1_2_1_0_0_0/352         0        5.00000000         -1.33709785             0.06623038
    SCEL2_1_2_1_0_0_0/353         0        5.00000000         -1.33120565             0.07212259
    SCEL2_1_2_1_0_0_0/354         0        5.00000000         -1.26473569             0.13859254
    SCEL2_1_2_1_0_0_0/355         0        5.00000000         -1.30618883             0.09713940
    SCEL2_1_2_1_0_0_0/356         0        5.00000000         -1.13991008             0.26341816
    SCEL2_1_2_1_0_0_0/357         0        5.00000000         -1.23896433             0.16436391
    SCEL2_1_2_1_0_0_0/358         0        5.00000000         -1.22384442             0.17948381
    SCEL2_1_2_1_0_0_0/359         0        5.00000000         -1.30135600             0.10197224
    SCEL2_1_2_1_0_0_0/36          0        2.00000000         0.51927215              0.52541386
    SCEL2_1_2_1_0_0_0/360         0        5.00000000         -1.35399033             0.04933790
    SCEL2_1_2_1_0_0_0/361         0        5.00000000         -1.23362836             0.16969987
    SCEL2_1_2_1_0_0_0/362         0        5.00000000         -1.24643206             0.15689617
    SCEL2_1_2_1_0_0_0/363         0        5.00000000         -1.32046523             0.08286301
    SCEL2_1_2_1_0_0_0/364         0        5.00000000         -1.31326795             0.09006028
